Track_mo,Track_dt,Slice,Group
3,1,32,3
1,2,88,3
4,5,38,4
6,7,86,6
8,11,79,8
9,15,43,9
10,12,68,10
10,17,27,10
17,18,71,10
13,20,39,13
20,22,91,13
14,16,67,14
14,19,14,14
19,21,63,14
25,23,38,25
23,24,92,25
26,31,55,26
26,45,5,26
45,30,18,26
30,38,48,26
27,28,59,27
27,29,12,27
29,32,69,27
33,42,65,33
33,54,17,33
54,62,64,33
34,35,70,34
34,41,17,34
41,52,74,34
36,81,75,36
36,43,20,36
43,49,73,36
67,68,84,67
67,72,31,67
72,74,90,67
59,66,78,59
59,71,28,59
71,73,78,59
56,65,77,56
56,57,32,56
57,63,77,56
50,51,66,50
50,53,9,50
53,55,51,50
46,47,71,46
46,60,20,46
60,64,69,46
39,40,13,39
40,48,42,39
37,44,84,37
37,58,34,37
58,61,89,37
69,70,73,69
69,75,25,69
75,76,66,69
78,77,56,78
77,79,97,78
80,84,90,80
80,82,40,80
82,93,93,80
83,86,77,83
83,85,32,83
85,88,81,83
87,87,1,87
89,91,44,89
90,92,50,90
