Track n,Slice n,X,Y,TGF
1,1,781.5621815,339.5184477,P
1,2,780.2391246,328.4665766,P
1,3,778.9922279,332.3947555,P
1,4,778.04465,327.9977934,P
1,5,775.9006663,316.9677174,P
1,6,778.0539603,316.9828851,P
1,7,780.7145917,312.7590647,P
1,8,778.5328942,307.4110422,P
1,9,776.8781231,307.4447455,P
1,10,775.2675618,311.5200045,P
1,11,785.0468885,297.3305758,P
1,12,778.9876051,281.5499404,P
1,13,771.54211,257.6865533,P
1,14,779.0367575,258.1764501,P
1,15,780.4081072,252.2280603,P
1,16,788.7619387,241.7687986,P
1,17,789.1817596,245.7476788,P
1,18,791.0339634,247.1281964,P
1,19,785.8235414,242.4667173,P
1,20,783.8167131,242.0375654,P
1,21,786.7747279,246.3409287,P
1,22,783.9744575,239.8976669,P
1,23,788.9574934,246.7388097,P
1,24,785.5861865,239.7976405,P
1,25,786.1479498,247.3732219,P
1,26,784.6122509,257.6148968,P
1,27,784.4798488,286.6254847,P
1,28,784.5036619,283.3311954,P
1,29,784.4575641,280.7552729,P
1,30,782.9714794,267.8326682,P
1,31,785.0196278,263.1755424,P
1,32,782.1926563,267.8749891,P
1,33,774.1776681,262.292777,P
1,34,775.6492467,267.5588105,P
1,35,779.7424547,270.6809152,P
1,36,781.0765356,260.6198822,P
1,37,778.3005814,261.4525584,P
1,38,785.0204088,254.8664769,P
1,39,778.6485369,248.4584763,P
1,40,779.1082226,246.7422059,P
1,41,781.7259531,246.1687439,P
1,42,777.331274,240.9944974,P
1,43,778.7125968,240.9974333,P
1,44,777.9672672,242.694295,P
1,45,775.6958547,247.00478,P
1,46,772.453736,247.0988575,P
1,47,775.8129287,252.2884524,P
1,48,777.9740142,249.2680512,P
1,49,778.6828556,246.2813332,P
1,50,778.9507299,237.4754868,P
1,51,780.3502255,230.5280999,P
1,52,782.635827,230.6372738,P
1,53,778.3065325,225.5608213,P
1,54,778.6181692,225.0735038,P
1,55,777.1550643,225.771959,P
1,56,779.7473752,220.0859879,P
1,57,780.5540571,221.7839831,P
1,58,779.9215846,219.2961602,P
1,59,776.8889386,212.7209012,P
1,60,778.9505204,206.6466142,P
1,61,778.3819352,206.0406545,P
1,62,782.350754,199.8863739,P
1,63,779.0940774,198.9539531,P
1,64,777.4065951,195.4576705,P
1,65,780.7763421,194.486696,P
1,66,780.3033542,191.2809764,P
1,67,779.6075854,191.1954433,P
1,68,781.5848312,191.314085,P
1,69,781.6938133,187.217377,P
1,70,782.0279534,185.8073069,P
1,71,784.7490122,177.0667734,P
1,72,783.8480434,176.5971994,P
1,73,782.6248826,171.3892862,P
1,74,785.9892217,182.2319938,P
1,75,786.3906623,182.0872147,P
1,76,785.9086872,178.9760177,P
1,77,786.0100056,178.8483592,P
1,78,785.0148648,170.5409413,P
1,79,789.6283754,167.3099975,P
1,80,785.3295999,172.8371727,P
1,81,783.4898847,184.2674178,P
1,82,787.5928198,186.5403732,P
1,83,788.5647981,183.9597024,P
1,84,791.9522334,181.4110881,P
1,85,789.608221,182.7278468,P
1,86,783.3791583,181.4049979,P
1,87,783.422202,183.7016901,P
1,88,783.0969373,185.4568052,P
1,89,783.9553469,176.1261343,P
1,90,783.0783491,176.7534491,P
1,91,792.1200974,181.827198,P
1,92,791.5269704,174.156464,P
1,93,786.8663525,169.7710316,P
1,94,784.5499358,170.5190968,P
1,95,784.1280315,169.556081,P
1,96,789.6058208,166.0518594,P
1,97,788.5735885,161.2443105,P
2,1,781.5121857,344.1814185,P
2,2,776.7776919,334.4630912,P
2,3,773.9424016,334.9829511,P
2,4,779.4616651,324.2663937,P
2,5,779.9360353,325.2897559,P
2,6,775.9236593,314.327165,P
2,7,775.3767365,315.4217681,P
2,8,777.1776063,306.3089961,P
2,9,776.5647117,303.5503862,P
2,10,780.3983793,301.8278481,P
2,11,779.4966074,296.9192114,P
2,12,774.2056835,276.9096526,P
2,13,773.70208,263.5712339,P
2,14,778.9813986,257.7659539,P
2,15,781.5701358,250.9037194,P
2,16,787.9084682,247.3253359,P
2,17,789.3598705,238.2606498,P
2,18,786.814645,246.2165698,P
2,19,791.1815041,249.307427,P
2,20,786.3095336,243.9498086,P
2,21,786.2957643,245.5182562,P
2,22,784.9974835,240.5402375,P
2,23,789.1353294,239.8640892,P
2,24,785.5724944,240.9024348,P
2,25,784.409916,247.2046582,P
2,26,782.0488129,263.1626609,P
2,27,784.7728477,265.900962,P
2,28,781.3023036,287.3474112,P
2,29,784.0707437,272.9160192,P
2,30,784.8136485,265.5295182,P
2,31,781.2283485,263.6059556,P
2,32,779.5175293,260.9715177,P
2,33,774.4323571,264.8547658,P
