Track n,Slice n,X,Y,TGF
1,1,782.4434454,339.8782563,P
1,2,779.1701277,330.3522649,P
1,3,777.3849345,331.6142052,P
1,4,776.1981304,328.7927848,P
1,5,775.8535929,318.4987076,P
1,6,777.7375658,317.89923,P
1,7,780.6173623,312.8790672,P
1,8,780.7968812,304.2568996,P
1,9,774.4712181,306.8444477,P
1,10,777.6421859,309.9709582,P
1,11,786.5530483,298.0773466,P
1,12,780.8521653,280.7279101,P
1,13,772.0055209,257.7706841,P
1,14,778.7799777,258.484207,P
1,15,780.0324528,251.42625,P
1,16,788.9805022,244.2322277,P
1,17,790.8953716,244.2691189,P
1,18,787.7957958,244.933788,P
1,19,787.9947749,243.3384371,P
1,20,786.8953677,243.4087929,P
1,21,785.0830538,244.4480747,P
1,22,783.0089734,238.0380214,P
1,23,788.898764,244.7519774,P
1,24,786.047915,240.8905663,P
1,25,785.7936996,248.5058405,P
1,26,785.4562393,258.5230444,P
1,27,784.4097283,287.5588987,P
1,28,783.4573299,281.4803858,P
1,29,782.3884629,280.7659802,P
1,30,783.8302319,270.1287346,P
1,31,784.9509288,263.6683372,P
1,32,780.5755558,267.9617046,P
1,33,774.405711,261.1941209,P
1,34,775.28472,265.8947268,P
1,35,781.5707359,272.1803722,P
1,36,778.3633992,264.1361712,P
1,37,781.1074354,261.1281267,P
1,38,784.3500956,256.118841,P
1,39,781.2339323,250.8111509,P
1,40,780.9161369,247.9791844,P
1,41,779.6215348,244.5592747,P
1,42,779.5504021,241.3280172,P
1,43,780.8195539,245.070896,P
1,44,779.0485719,241.2721168,P
1,45,774.9035813,247.0610188,P
1,46,774.8358395,248.1365302,P
1,47,775.8626131,250.7586428,P
1,48,777.6936621,251.369316,P
1,49,779.6898165,245.5080259,P
1,50,782.0228413,233.6695898,P
1,51,778.4235516,232.7559348,P
1,52,780.6127844,230.5192671,P
1,53,777.5054001,225.635113,P
1,54,778.9876116,223.8516234,P
1,55,778.823169,223.2317751,P
1,56,781.2417623,221.5612687,P
1,57,780.8208683,221.2047415,P
1,58,778.4215491,219.2601068,P
1,59,776.9775244,212.7368334,P
1,60,779.5124498,205.7677513,P
1,61,777.6925038,206.051116,P
1,62,780.1772106,200.6587753,P
1,63,780.8278374,198.0282282,P
1,64,775.9896628,195.6031018,P
1,65,779.6085772,192.9545115,P
1,66,781.2390941,191.8843526,P
1,67,780.1485713,190.9152901,P
1,68,781.0622732,189.5407244,P
1,69,783.0386487,184.8819604,P
1,70,781.5313859,187.0163868,P
1,71,783.2671101,176.3439748,P
1,72,785.6494018,176.5248904,P
1,73,782.2403882,171.5852083,P
1,74,786.2021891,181.8771007,P
1,75,786.3316313,183.4092414,P
1,76,787.5283668,177.3062217,P
1,77,784.8466253,177.9832702,P
1,78,784.1913837,170.7245776,P
1,79,790.2600673,167.1029845,P
1,80,784.3582655,172.8979717,P
1,81,785.8744821,181.790376,P
1,82,788.2618556,188.2109524,P
1,83,788.5282577,183.0869324,P
1,84,791.4442159,180.3576104,P
1,85,788.5389257,179.1528805,P
1,86,782.0339492,183.4705545,P
1,87,781.8946101,183.3892635,P
1,88,781.7812883,187.2326661,P
1,89,782.2561901,176.5848772,P
1,90,784.842289,175.8168806,P
1,91,790.0221163,179.560942,P
1,92,790.3962094,171.7338924,P
1,93,785.1812832,168.7192198,P
1,94,783.5419904,168.2039404,P
1,95,785.0767235,169.354993,P
1,96,789.7129468,167.7064313,P
1,97,786.769154,161.7752941,P
2,1,778.821448,342.0647422,P
2,2,774.3756647,333.3702133,P
2,3,775.1680693,333.1170075,P
2,4,777.8256231,324.7388414,P
2,5,778.8306854,324.8295607,P
2,6,775.7559198,317.7899822,P
2,7,775.6645799,314.3936058,P
2,8,776.3789524,306.6757332,P
2,9,774.437277,302.7488913,P
2,10,781.7834081,303.5066894,P
2,11,780.4409121,295.8559869,P
2,12,773.6614944,274.4339978,P
2,13,772.7016715,262.8387578,P
2,14,778.27156,258.5169406,P
2,15,783.1937915,249.4635444,P
2,16,785.262709,244.0444015,P
2,17,789.3349763,237.469675,P
2,18,786.2792369,247.6365868,P
2,19,789.8792815,251.8048291,P
2,20,787.1748488,246.0516245,P
2,21,785.998642,244.1768191,P
2,22,789.1627171,239.5385922,P
2,23,787.9015698,239.9191697,P
2,24,787.8449155,240.715989,P
2,25,784.2977738,247.1739587,P
2,26,783.4032953,261.6765423,P
2,27,785.6567102,265.6340307,P
2,28,779.6239087,287.5847551,P
2,29,782.6381277,270.5461722,P
2,30,785.4774903,266.8029149,P
2,31,779.1971989,264.551435,P
2,32,778.9189064,261.0256689,P
2,33,775.0629948,265.2508072,P
2,34,780.7598022,271.2468621,P
2,35,776.1535519,266.7482869,P
2,36,781.2822882,262.8377131,P
2,37,778.756519,258.8102456,P
2,38,785.0695573,252.3861504,P
2,39,778.5661498,249.0007356,P
2,40,778.2803174,250.0168416,P
2,41,779.654633,247.8153293,P
2,42,779.3970187,243.6698701,P
2,43,778.0571319,248.4832269,P
2,44,776.3534574,247.9867893,P
2,45,774.3808091,241.9119979,P
2,46,780.7558336,251.8146128,P
2,47,781.6218361,251.0345588,P
2,48,783.0765506,244.9181404,P
2,49,779.6782955,240.537895,P
2,50,773.4402914,234.2440858,P
2,51,775.0077613,234.3738991,P
2,52,774.8306652,234.5592421,P
2,53,775.7331519,234.0307555,P
2,54,777.4993174,223.5505909,P
2,55,780.4483451,222.0068866,P
2,56,778.9103106,221.7486829,P
2,57,777.8353102,221.710914,P
2,58,779.316173,213.5382084,P
2,59,778.1684603,212.1276374,P
2,60,781.8817612,203.669741,P
2,61,780.2215509,203.8726698,P
2,62,781.2817239,206.1872918,P
2,63,780.7484127,207.5827385,P
2,64,777.8131135,195.9598686,P
2,65,779.218671,194.0101175,P
2,66,778.7116646,190.472653,P
2,67,776.3239511,189.0569987,P
2,68,780.4233072,188.1896609,P
2,69,780.1826202,188.3777467,P
2,70,782.6210587,182.4698367,P
2,71,787.8323979,185.616698,P
2,72,789.8085422,187.6127353,P
2,73,784.0634324,176.1482797,P
2,74,784.0526644,179.5003518,P
2,75,784.51556,183.5959598,P
2,76,784.2695739,182.6172539,P
2,77,788.4964162,175.7203679,P
2,78,786.1148155,170.3679737,P
2,79,786.7369636,171.0366905,P
2,80,786.604834,170.9753826,P
