Track n,Slice n,X,Y,TGF
1,1,781,340,P
1,2,779,329,P
1,3,778,332,P
1,4,778,329,P
1,5,777,318,P
1,6,778,318,P
1,7,780,312,P
1,8,780,306,P
1,9,775,306,P
1,10,777,311,P
1,11,784,297,P
1,12,779,281,P
1,13,772,258,P
1,14,778,259,P
1,15,780,252,P
1,16,789,243,P
1,17,790,246,P
1,18,790,246,P
1,19,787,243,P
1,20,785,242,P
1,21,787,247,P
1,22,784,238,P
1,23,787,246,P
1,24,786,241,P
1,25,786,247,P
1,26,784,258,P
1,27,784,286,P
1,28,784,283,P
1,29,784,280,P
1,30,784,269,P
1,31,784,262,P
1,32,782,266,P
1,33,774,262,P
1,34,775,267,P
1,35,780,272,P
1,36,780,261,P
1,37,780,260,P
1,38,785,255,P
1,39,781,250,P
1,40,781,248,P
1,41,781,246,P
1,42,779,242,P
1,43,780,243,P
1,44,780,243,P
1,45,776,247,P
1,46,774,248,P
1,47,776,251,P
1,48,779,250,P
1,49,779,246,P
1,50,780,235,P
1,51,781,232,P
1,52,781,232,P
1,53,778,225,P
1,54,778,225,P
1,55,778,223,P
1,56,780,221,P
1,57,780,221,P
1,58,780,218,P
1,59,777,214,P
1,60,778,206,P
1,61,778,206,P
1,62,781,201,P
1,63,780,198,P
1,64,777,196,P
1,65,781,194,P
1,66,781,192,P
1,67,781,191,P
1,68,781,190,P
1,69,783,186,P
1,70,783,186,P
1,71,784,177,P
1,72,784,177,P
1,73,783,173,P
1,74,786,182,P
1,75,786,182,P
1,76,785,178,P
1,77,785,178,P
1,78,785,171,P
1,79,790,168,P
1,80,785,172,P
1,81,784,184,P
1,82,788,188,P
1,83,789,184,P
1,84,791,181,P
1,85,789,181,P
1,86,783,182,P
1,87,782,184,P
1,88,782,186,P
1,89,783,176,P
1,90,784,176,P
1,91,791,180,P
1,92,791,172,P
1,93,786,169,P
1,94,785,170,P
1,95,784,169,P
1,96,790,166,P
1,97,788,162,P
2,1,780,343,P
2,2,776,333,P
2,3,775,334,P
2,4,779,324,P
2,5,779,324,P
2,6,776,315,P
2,7,776,314,P
2,8,776,307,P
2,9,776,303,P
2,10,781,303,P
2,11,780,297,P
2,12,774,276,P
2,13,773,263,P
2,14,779,258,P
2,15,782,250,P
2,16,787,246,P
2,17,788,238,P
2,18,787,247,P
2,19,790,251,P
2,20,787,245,P
2,21,787,245,P
2,22,787,239,P
2,23,787,240,P
2,24,787,241,P
2,25,782,247,P
2,26,783,262,P
2,27,784,266,P
2,28,780,286,P
2,29,784,273,P
2,30,785,266,P
2,31,780,265,P
2,32,778,261,P
2,33,774,265,P
2,34,780,270,P
2,35,778,267,P
2,36,781,263,P
2,37,781,259,P
2,38,783,253,P
2,39,779,247,P
2,40,779,249,P
2,41,779,248,P
2,42,779,243,P
2,43,778,247,P
2,44,778,248,P
2,45,775,243,P
2,46,781,252,P
2,47,781,252,P
2,48,782,244,P
2,49,780,241,P
2,50,775,235,P
2,51,775,234,P
2,52,775,234,P
2,53,775,234,P
2,54,779,223,P
2,55,779,223,P
2,56,779,222,P
2,57,779,222,P
2,58,779,212,P
2,59,779,212,P
2,60,780,205,P
2,61,780,205,P
2,62,781,205,P
2,63,781,205,P
2,64,777,197,P
2,65,779,194,P
2,66,779,191,P
2,67,778,188,P
2,68,780,188,P
2,69,780,188,P
2,70,781,182,P
2,71,789,186,P
2,72,790,187,P
2,73,784,177,P
2,74,784,180,P
2,75,785,183,P
2,76,785,182,P
2,77,788,174,P
2,78,788,171,P
2,79,788,171,P
2,80,788,171,P
2,81,782,186,P
2,82,785,190,P
2,83,789,192,P
2,84,790,183,P
2,85,790,175,P
2,86,784,184,P
2,87,784,184,P
2,88,785,179,P
2,89,782,186,P
2,90,782,191,P
2,91,780,191,P
2,92,788,196,P
2,93,789,185,P
2,94,788,189,P
2,95,789,189,P
2,96,790,189,P
2,97,792,184,P
3,1,775,343,P
3,2,778,334,P
3,3,779,327,P
3,4,779,327,P
3,5,779,321,P
3,6,777,321,P
3,7,779,310,P
3,8,779,305,P
3,9,781,306,P
3,10,781,308,P
3,11,779,298,P
3,12,773,271,P
3,13,773,264,P
3,14,776,259,P
3,15,776,255,P
3,16,779,255,P
3,17,778,257,P
3,18,780,262,P
3,19,780,262,P
3,20,780,262,P
3,21,780,262,P
3,22,781,257,P
3,23,782,258,P
3,24,783,258,P
3,25,784,258,P
3,26,790,260,P
3,27,781,277,P
3,28,780,284,P
3,29,783,274,P
3,30,783,270,P
3,31,783,264,P
3,32,784,266,P
3,33,785,279,P
3,34,787,290,P
3,35,784,296,P
3,36,783,294,P
3,37,784,295,P
3,38,784,295,P
3,39,782,290,P
3,40,783,286,P
3,41,783,288,P
3,42,783,287,P
3,43,782,296,P
3,44,782,296,P
3,45,783,290,P
3,46,783,288,P
3,47,783,293,P
3,48,784,286,P
3,49,782,277,P
3,50,783,276,P
3,51,785,275,P
3,52,785,271,P
3,53,784,274,P
3,54,783,265,P
3,55,782,265,P
3,56,782,262,P
3,57,784,262,P
3,58,784,265,P
3,59,783,257,P
3,60,782,256,P
3,61,787,255,P
3,62,787,258,P
3,63,784,258,P
3,64,784,254,P
3,65,790,251,P
3,66,790,241,P
3,67,789,240,P
3,68,786,238,P
3,69,790,227,P
3,70,791,232,P
3,71,791,233,P
3,72,790,233,P
3,73,788,232,P
3,74,791,222,P
3,75,788,221,P
3,76,788,221,P
3,77,788,221,P
3,78,788,214,P
3,79,791,210,P
3,80,794,209,P
3,81,794,209,P
3,82,790,211,P
3,83,790,215,P
3,84,790,215,P
3,85,789,218,P
3,86,789,219,P
3,87,789,213,P
3,88,789,213,P
3,89,792,211,P
3,90,793,214,P
3,91,796,214,P
3,92,796,211,P
3,93,791,210,P
3,94,784,209,P
3,95,784,203,P
3,96,784,203,P
3,97,789,208,P
4,1,756,538,P
4,2,754,546,P
4,3,758,543,P
4,4,760,546,P
4,5,753,544,P
4,6,755,546,P
4,7,754,551,P
4,8,756,551,P
4,9,751,554,P
4,10,752,558,P
4,11,752,550,P
4,12,754,552,P
4,13,755,552,P
4,14,752,555,P
4,15,755,555,P
4,16,751,556,P
4,17,759,555,P
4,18,760,565,P
4,19,758,569,P
4,20,758,570,P
4,21,760,564,P
4,22,756,572,P
4,23,754,565,P
4,24,754,571,P
4,25,755,569,P
4,26,758,576,P
4,27,758,572,P
4,28,756,576,P
4,29,758,574,P
4,30,759,578,P
4,31,762,578,P
4,32,755,574,P
4,33,750,547,P
4,34,754,540,P
4,35,753,540,P
4,36,753,545,P
4,37,759,551,P
4,38,756,548,P
4,39,752,540,P
4,40,757,540,P
4,41,757,540,P
4,42,754,544,P
4,43,753,542,P
4,44,750,542,P
4,45,754,542,P
4,46,754,544,P
4,47,759,542,P
4,48,758,548,P
4,49,764,544,P
4,50,762,546,P
4,51,759,549,P
4,52,759,549,P
4,53,759,549,P
4,54,761,554,P
4,55,761,554,P
4,56,758,554,P
4,57,757,554,P
4,58,755,556,P
4,59,756,556,P
4,60,757,556,P
4,61,760,560,P
4,62,759,560,P
4,63,763,560,P
4,64,758,559,P
4,65,758,559,P
4,66,758,560,P
4,67,758,560,P
4,68,753,555,P
